method,profile,queries,queries_with_hit,queries_top1_hit,mean_latency_ms,median_latency_ms,mean_precision_at_1,mean_precision_at_k,mean_recall_at_k,mean_hit_rate_at_k,mean_mrr,mean_ap_at_k,mean_r_precision,mean_ndcg_at_k,mean_first_relevant_rank,median_first_relevant_rank,category
bm25,minilm,1,1,1,3.288300009444356,3.288300009444356,1.0,0.2,0.5,1.0,1.0,0.5,0.5,0.6131471927654584,1,1,climate_opinion
hybrid,minilm,1,1,1,37.32040000613779,37.32040000613779,1.0,0.2,0.5,1.0,1.0,0.5,0.5,0.6131471927654584,1,1,climate_opinion
semantic,minilm,1,1,1,48.66680002305657,48.66680002305657,1.0,0.2,0.5,1.0,1.0,0.5,0.5,0.6131471927654584,1,1,climate_opinion
bm25,english_e5,1,1,1,3.94099997356534,3.94099997356534,1.0,0.4,0.2857142857142857,1.0,1.0,0.4,0.42857142857142855,0.5531464700081437,1,1,computer_vision
hybrid,english_e5,1,1,1,91.87260002363473,91.87260002363473,1.0,0.4,0.2857142857142857,1.0,1.0,0.4,0.2857142857142857,0.5531464700081437,1,1,computer_vision
semantic,english_e5,1,1,1,88.6981999501586,88.6981999501586,1.0,0.4,0.2857142857142857,1.0,1.0,0.27999999999999997,0.42857142857142855,0.4703652827859579,1,1,computer_vision
bm25,minilm,1,1,1,4.664300009608269,4.664300009608269,1.0,0.4,0.2857142857142857,1.0,1.0,0.4,0.42857142857142855,0.5531464700081437,1,1,computer_vision
hybrid,minilm,1,1,1,40.53680005017668,40.53680005017668,1.0,0.6,0.42857142857142855,1.0,1.0,0.52,0.42857142857142855,0.6843515475204855,1,1,computer_vision
semantic,minilm,1,1,1,49.82620000373572,49.82620000373572,1.0,0.6,0.42857142857142855,1.0,1.0,0.4533333333333333,0.42857142857142855,0.639945385422766,1,1,computer_vision
bm25,english_e5,1,1,1,3.850199980661273,3.850199980661273,1.0,0.6,1.0,1.0,1.0,1.0,1.0,1.0,1,1,earth_science
hybrid,english_e5,1,1,1,287.63579996302724,287.63579996302724,1.0,0.6,1.0,1.0,1.0,1.0,1.0,1.0,1,1,earth_science
semantic,english_e5,1,1,1,4120.741600054316,4120.741600054316,1.0,0.6,1.0,1.0,1.0,0.8666666666666667,0.6666666666666666,0.9469024295259745,1,1,earth_science
bm25,minilm,1,1,1,4.945899941958487,4.945899941958487,1.0,0.6,1.0,1.0,1.0,1.0,1.0,1.0,1,1,earth_science
hybrid,minilm,1,1,1,382.50830001197755,382.50830001197755,1.0,0.6,1.0,1.0,1.0,1.0,1.0,1.0,1,1,earth_science
semantic,minilm,1,1,1,4998.4838999807835,4998.4838999807835,1.0,0.6,1.0,1.0,1.0,0.9166666666666666,0.6666666666666666,0.9674679834891693,1,1,earth_science
bm25,english_e5,1,0,0,7.910899934358895,7.910899934358895,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.16666666666666666,0.0,6,6,finance
hybrid,english_e5,1,1,0,69.65760001912713,69.65760001912713,0.0,0.2,0.16666666666666666,1.0,0.25,0.05,0.16666666666666666,0.14606834984270645,4,4,finance
semantic,english_e5,1,1,0,54.632200044579804,54.632200044579804,0.0,0.2,0.16666666666666666,1.0,0.5,0.1,0.16666666666666666,0.21398626473452756,2,2,finance
bm25,minilm,1,0,0,4.376900033093989,4.376900033093989,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.16666666666666666,0.0,6,6,finance
hybrid,minilm,1,1,0,40.32719996757805,40.32719996757805,0.0,0.2,0.16666666666666666,1.0,0.25,0.05,0.3333333333333333,0.14606834984270645,4,4,finance
semantic,minilm,1,1,0,35.040699993260205,35.040699993260205,0.0,0.4,0.3333333333333333,1.0,0.25,0.13,0.3333333333333333,0.27727342735504823,4,4,finance
bm25,english_e5,1,1,1,2.712500048801303,2.712500048801303,1.0,0.6,0.5,1.0,1.0,0.6,0.6666666666666666,0.7227265726449519,1,1,health_time_series
hybrid,english_e5,1,1,1,65.01010002102703,65.01010002102703,1.0,0.6,0.5,1.0,1.0,0.4833333333333333,0.5,0.6548086577531307,1,1,health_time_series
semantic,english_e5,1,1,0,81.21910004410893,81.21910004410893,0.0,0.4,0.3333333333333333,1.0,0.5,0.2333333333333333,0.5,0.38356636737133565,2,2,health_time_series
bm25,minilm,1,1,1,2.5026999646797776,2.5026999646797776,1.0,0.6,0.5,1.0,1.0,0.6,0.6666666666666666,0.7227265726449519,1,1,health_time_series
hybrid,minilm,1,1,1,38.784499978646636,38.784499978646636,1.0,0.6,0.5,1.0,1.0,0.6,0.5,0.7227265726449519,1,1,health_time_series
semantic,minilm,1,1,1,46.09310009982437,46.09310009982437,1.0,0.6,0.5,1.0,1.0,0.55,0.6666666666666666,0.6992148198508501,1,1,health_time_series
bm25,english_e5,1,1,1,2.4167000083252788,2.4167000083252788,1.0,0.4,0.5,1.0,1.0,0.375,0.5,0.5585075862632192,1,1,medical_nlp
hybrid,english_e5,1,1,1,97.35010005533695,97.35010005533695,1.0,0.4,0.5,1.0,1.0,0.41666666666666663,0.5,0.5855700749881525,1,1,medical_nlp
semantic,english_e5,1,1,0,91.49899997282773,91.49899997282773,0.0,0.4,0.5,1.0,0.5,0.29166666666666663,0.5,0.44149241373678083,2,2,medical_nlp
bm25,minilm,1,1,1,2.136099967174232,2.136099967174232,1.0,0.4,0.5,1.0,1.0,0.375,0.5,0.5585075862632192,1,1,medical_nlp
hybrid,minilm,1,1,1,37.02169994357973,37.02169994357973,1.0,0.4,0.5,1.0,1.0,0.375,0.5,0.5585075862632192,1,1,medical_nlp
semantic,minilm,1,1,1,35.58189992327243,35.58189992327243,1.0,0.2,0.25,1.0,1.0,0.25,0.25,0.3903800499921017,1,1,medical_nlp
bm25,english_e5,1,1,0,3.4996001049876213,3.4996001049876213,0.0,0.2,0.3333333333333333,1.0,0.5,0.16666666666666666,0.3333333333333333,0.2960819109658652,2,2,nlp_sentiment
hybrid,english_e5,1,1,0,77.65570003539324,77.65570003539324,0.0,0.4,0.6666666666666666,1.0,0.3333333333333333,0.24444444444444446,0.3333333333333333,0.41618115554873086,3,3,nlp_sentiment
semantic,english_e5,1,1,0,83.27940001618117,83.27940001618117,0.0,0.4,0.6666666666666666,1.0,0.5,0.3333333333333333,0.3333333333333333,0.49818925746641285,2,2,nlp_sentiment
bm25,minilm,1,1,0,3.5581999691203237,3.5581999691203237,0.0,0.2,0.3333333333333333,1.0,0.5,0.16666666666666666,0.3333333333333333,0.2960819109658652,2,2,nlp_sentiment
hybrid,minilm,1,1,0,41.24230006709695,41.24230006709695,0.0,0.4,0.6666666666666666,1.0,0.5,0.3,0.3333333333333333,0.4776237035032179,2,2,nlp_sentiment
semantic,minilm,1,1,0,38.8679999159649,38.8679999159649,0.0,0.2,0.3333333333333333,1.0,0.5,0.16666666666666666,0.3333333333333333,0.2960819109658652,2,2,nlp_sentiment
bm25,english_e5,2,2,2,3.128450072836131,3.128450072836131,1.0,0.30000000000000004,0.5,1.0,1.0,0.4375,0.5,0.5858273895143388,1,1.0,speech_audio
hybrid,english_e5,2,2,1,88.30260002287105,88.30260002287105,0.5,0.4,0.75,1.0,0.75,0.5416666666666666,0.5,0.6650544211750513,1.5,1.5,speech_audio
semantic,english_e5,2,2,1,82.61904999380931,82.61904999380931,0.5,0.30000000000000004,0.5,1.0,0.75,0.3333333333333333,0.5,0.48621144111134706,1.5,1.5,speech_audio
bm25,minilm,2,2,2,2.4504499742761254,2.4504499742761254,1.0,0.30000000000000004,0.5,1.0,1.0,0.4375,0.5,0.5858273895143388,1,1.0,speech_audio
hybrid,minilm,2,2,2,41.14010004559532,41.14010004559532,1.0,0.4,0.75,1.0,1.0,0.6,0.5,0.7435136721337932,1,1.0,speech_audio
semantic,minilm,2,2,2,46.5129500371404,46.5129500371404,1.0,0.30000000000000004,0.5,1.0,1.0,0.5,0.5,0.6249148157491451,1,1.0,speech_audio
bm25,english_e5,1,1,1,2.5133000453934073,2.5133000453934073,1.0,0.6,0.5,1.0,1.0,0.4533333333333333,0.5,0.639945385422766,1,1,weather_climate
hybrid,english_e5,1,1,1,96.93909995257854,96.93909995257854,1.0,0.6,0.5,1.0,1.0,0.4833333333333333,0.6666666666666666,0.6548086577531307,1,1,weather_climate
semantic,english_e5,1,1,1,87.32699998654425,87.32699998654425,1.0,0.8,0.6666666666666666,1.0,1.0,0.8,0.6666666666666666,0.8687949224876582,1,1,weather_climate
bm25,minilm,1,1,1,2.7096999110653996,2.7096999110653996,1.0,0.6,0.5,1.0,1.0,0.4533333333333333,0.5,0.639945385422766,1,1,weather_climate
hybrid,minilm,1,1,1,39.251600042916834,39.251600042916834,1.0,0.6,0.5,1.0,1.0,0.6,0.5,0.7227265726449519,1,1,weather_climate
semantic,minilm,1,1,1,49.507200019434094,49.507200019434094,1.0,0.8,0.6666666666666666,1.0,1.0,0.8,0.6666666666666666,0.8687949224876582,1,1,weather_climate
