method,profile,queries,queries_with_hit,queries_top1_hit,mean_latency_ms,median_latency_ms,mean_precision_at_1,mean_precision_at_k,mean_recall_at_k,mean_hit_rate_at_k,mean_mrr,mean_ap_at_k,mean_r_precision,mean_ndcg_at_k,mean_first_relevant_rank,median_first_relevant_rank,category
semantic,minilm,2,2,2,226.37704998487607,226.37704998487607,1.0,0.5,0.41666666666666663,1.0,1.0,0.37666666666666665,0.41666666666666663,0.5625869702695443,1,1.0,finance
bm25,minilm,2,2,2,1.2313500046730042,1.2313500046730042,1.0,0.9,0.75,1.0,1.0,0.9,0.75,0.934397461243829,1,1.0,health_time_series
hybrid,minilm,2,2,2,371.41259999771137,371.41259999771137,1.0,0.7,0.5833333333333333,1.0,1.0,0.5966666666666667,0.6666666666666666,0.7426142775581612,1,1.0,health_time_series
semantic,minilm,2,2,2,270.9067500109086,270.9067500109086,1.0,0.7,0.5833333333333333,1.0,1.0,0.5816666666666667,0.6666666666666666,0.735182641392979,1,1.0,health_time_series
bm25,minilm,2,2,1,1.7069499881472439,1.7069499881472439,0.5,0.30000000000000004,0.375,1.0,0.75,0.2375,0.25,0.39385102848031844,1.5,1.5,medical_nlp
hybrid,minilm,2,2,2,232.8084999899147,232.8084999899147,1.0,0.2,0.25,1.0,1.0,0.25,0.25,0.3903800499921017,1,1.0,medical_nlp
semantic,minilm,2,2,2,228.33434998756275,228.33434998756275,1.0,0.2,0.25,1.0,1.0,0.25,0.25,0.3903800499921017,1,1.0,medical_nlp
bm25,minilm,2,2,2,1.6368000069633126,1.6368000069633126,1.0,0.2,0.3333333333333333,1.0,1.0,0.3333333333333333,0.3333333333333333,0.46927872602275644,1,1.0,nlp_sentiment
hybrid,minilm,2,0,0,305.3345999942394,305.3345999942394,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,nlp_sentiment
semantic,minilm,2,0,0,277.7197499963222,277.7197499963222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,nlp_sentiment
bm25,minilm,4,4,2,1.3298500052769668,1.288550003664568,0.5,0.4,0.625,1.0,0.7083333333333334,0.44166666666666665,0.4375,0.5587065179592945,1.75,1.5,speech_audio
hybrid,minilm,4,4,3,222.47055000480032,221.49065000121482,0.75,0.35,0.5625,1.0,0.8333333333333334,0.421875,0.4375,0.5647471188489025,1.5,1.0,speech_audio
semantic,minilm,4,4,1,199.72587499796646,183.6538999923505,0.25,0.25,0.4375,1.0,0.5208333333333334,0.24479166666666666,0.3125,0.3755695626077881,2.5,2.5,speech_audio
bm25,minilm,2,2,1,0.9969500097213313,0.9969500097213313,0.5,0.5,0.41666666666666663,1.0,0.75,0.41666666666666663,0.5,0.5531464700081438,1.5,1.5,weather_climate
hybrid,minilm,2,2,2,396.2082000216469,396.2082000216469,1.0,0.6,0.5,1.0,1.0,0.48500000000000004,0.5,0.6578242262397572,1,1.0,weather_climate
semantic,minilm,2,2,2,287.2516500065103,287.2516500065103,1.0,0.6,0.5,1.0,1.0,0.5266666666666666,0.5,0.6813359790338589,1,1.0,weather_climate
