query_id,query,category,method,profile,source_filter,top_k,relevant_count,hits,precision_at_k,recall_at_k,mrr,ndcg_at_k,retrieved_refs,hit_refs
tr004,film yorum duygu analizi,nlp_sentiment,bm25,multilingual,all,5,3,0,0.0,0.0,0.0,0.0,turkish-nlp-suite/BellaTurca | alanvourch/tmdb-movies-daily-updates | furkangozukara/turkish-product-reviews,
tr004,film yorum duygu analizi,nlp_sentiment,hybrid,multilingual,all,5,3,0,0.0,0.0,0.0,0.0,furkangozukara/turkish-product-reviews | turkish-nlp-suite/BellaTurca | alanvourch/tmdb-movies-daily-updates | fthbrmnby/turkish_product_reviews | intissarziani50/i3d-attention-explosion,
tr005,hava durumu iklim verisi,weather_climate,semantic,multilingual,all,5,6,3,0.6,0.5,0.5,0.4912596920895758,orvile/weather-related-disease-prediction-dataset | leopiney/worldclim-version-2-temperature-10m | tdiggelm/climate_fever | oinuma/japan-meteorological-agency-forecast | nelgiriyewithana/indian-weather-repository-daily-snapshot,leopiney/worldclim-version-2-temperature-10m | oinuma/japan-meteorological-agency-forecast | nelgiriyewithana/indian-weather-repository-daily-snapshot
tr005,hava durumu iklim verisi,weather_climate,bm25,multilingual,all,5,6,0,0.0,0.0,0.0,0.0,,
tr005,hava durumu iklim verisi,weather_climate,hybrid,multilingual,all,5,6,3,0.6,0.5,0.5,0.4912596920895758,orvile/weather-related-disease-prediction-dataset | leopiney/worldclim-version-2-temperature-10m | tdiggelm/climate_fever | oinuma/japan-meteorological-agency-forecast | nelgiriyewithana/indian-weather-repository-daily-snapshot,leopiney/worldclim-version-2-temperature-10m | oinuma/japan-meteorological-agency-forecast | nelgiriyewithana/indian-weather-repository-daily-snapshot
tr006,iklim degisikligi hakkinda kamuoyu,climate_opinion,semantic,multilingual,all,5,2,0,0.0,0.0,0.0,0.0,varunsaxena16/landslide-detection-dataset | anushkabilandani/citrus-dataset-classification | aryagokh/voxceleb-1-dataset | abhigupta4981/coco2017 | teyler/epstein-files-20k,
tr006,iklim degisikligi hakkinda kamuoyu,climate_opinion,bm25,multilingual,all,5,2,0,0.0,0.0,0.0,0.0,,
tr006,iklim degisikligi hakkinda kamuoyu,climate_opinion,hybrid,multilingual,all,5,2,0,0.0,0.0,0.0,0.0,varunsaxena16/landslide-detection-dataset | anushkabilandani/citrus-dataset-classification | aryagokh/voxceleb-1-dataset | abhigupta4981/coco2017 | teyler/epstein-files-20k,
tr007,yolo nesne tespiti veri seti,computer_vision,semantic,multilingual,all,5,7,0,0.0,0.0,0.0,0.0,mashalakhan39/inputaware-testset | luozili12138/seg-checkpoint | varunsaxena16/landslide-detection-dataset | manisharya12344/stable-viton | gsarti/nested-crosswords,
tr007,yolo nesne tespiti veri seti,computer_vision,bm25,multilingual,all,5,7,3,0.6,0.42857142857142855,0.5,0.5296347172140421,paweekorns/sss-images | devharis/plantvillage-yolo-modified | manoj223/ppe-kit-dataset | miaikoo/invasive-plant-species-object-detection-yolo | baxtiyorbotiraliyev/insects,devharis/plantvillage-yolo-modified | manoj223/ppe-kit-dataset | miaikoo/invasive-plant-species-object-detection-yolo
tr007,yolo nesne tespiti veri seti,computer_vision,hybrid,multilingual,all,5,7,2,0.4,0.2857142857142857,0.5,0.34519134224686937,paweekorns/sss-images | devharis/plantvillage-yolo-modified | mashalakhan39/inputaware-testset | luozili12138/seg-checkpoint | miaikoo/invasive-plant-species-object-detection-yolo,devharis/plantvillage-yolo-modified | miaikoo/invasive-plant-species-object-detection-yolo
tr008,arapca konusma tanima ses verisi,speech_audio,semantic,multilingual,all,5,2,0,0.0,0.0,0.0,0.0,mohamedahmed189/dp-llama3-unsloth-m | gsarti/nested-crosswords | mightydreadnought/concuata | teyler/epstein-files-20k | shlomoron/leap-tfrecs-combined-3-s-ds,
tr008,arapca konusma tanima ses verisi,speech_audio,bm25,multilingual,all,5,2,0,0.0,0.0,0.0,0.0,,
tr008,arapca konusma tanima ses verisi,speech_audio,hybrid,multilingual,all,5,2,0,0.0,0.0,0.0,0.0,mohamedahmed189/dp-llama3-unsloth-m | gsarti/nested-crosswords | mightydreadnought/concuata | teyler/epstein-files-20k | shlomoron/leap-tfrecs-combined-3-s-ds,
tr009,satis musteri satin alma davranisi,business,semantic,multilingual,all,5,4,0,0.0,0.0,0.0,0.0,manisharya12344/stable-viton | magamine/adamopmodel | mohamedahmed189/dp-llama3-unsloth-m | nimadavody/model-a1-st | yangli333/hmdb51-sm,
tr009,satis musteri satin alma davranisi,business,bm25,multilingual,all,5,4,0,0.0,0.0,0.0,0.0,,
tr009,satis musteri satin alma davranisi,business,hybrid,multilingual,all,5,4,0,0.0,0.0,0.0,0.0,manisharya12344/stable-viton | magamine/adamopmodel | mohamedahmed189/dp-llama3-unsloth-m | nimadavody/model-a1-st | yangli333/hmdb51-sm,
tr010,tibbi soru cevap,medical_nlp,semantic,multilingual,all,5,4,1,0.2,0.25,1.0,0.3903800499921017,seongsubae/KorMedMCQA-V | nghido/disease | turkerberkdonmez/TUSGPT-TR-Medical-Dataset-v1 | gamino/wiki_medical_terms | pankajbatra0405/abnormal-activity-dataset,seongsubae/KorMedMCQA-V
tr010,tibbi soru cevap,medical_nlp,bm25,multilingual,all,5,4,0,0.0,0.0,0.0,0.0,,
tr010,tibbi soru cevap,medical_nlp,hybrid,multilingual,all,5,4,1,0.2,0.25,1.0,0.3903800499921017,seongsubae/KorMedMCQA-V | nghido/disease | turkerberkdonmez/TUSGPT-TR-Medical-Dataset-v1 | gamino/wiki_medical_terms | pankajbatra0405/abnormal-activity-dataset,seongsubae/KorMedMCQA-V
tr011,kuran sesli tilavet,speech_audio,semantic,multilingual,all,5,4,2,0.4,0.5,1.0,0.5855700749881525,Buraaq/quran-md-ayahs | mohamedahmed189/dp-llama3-unsloth-m | nazimali/quran | solomananahernandez/learning-curve | gsarti/nested-crosswords,Buraaq/quran-md-ayahs | nazimali/quran
tr011,kuran sesli tilavet,speech_audio,bm25,multilingual,all,5,4,0,0.0,0.0,0.0,0.0,,
tr011,kuran sesli tilavet,speech_audio,hybrid,multilingual,all,5,4,2,0.4,0.5,1.0,0.5855700749881525,Buraaq/quran-md-ayahs | mohamedahmed189/dp-llama3-unsloth-m | nazimali/quran | solomananahernandez/learning-curve | gsarti/nested-crosswords,Buraaq/quran-md-ayahs | nazimali/quran
tr012,gunluk covid vaka guncellemeleri,health_time_series,semantic,multilingual,all,5,6,1,0.2,0.16666666666666666,0.5,0.21398626473452756,sophiaray/covid19-global-cases | joebeachcapital/coronavirus-covid-19-cases-daily-updates | nuhaasalsabila/data-tuberkulosis | deepseek-ai/DeepSeek-ProverBench | joebeachcapital/covid19-global-excess-deaths-daily-updates,joebeachcapital/coronavirus-covid-19-cases-daily-updates
tr012,gunluk covid vaka guncellemeleri,health_time_series,bm25,multilingual,all,5,6,2,0.4,0.3333333333333333,0.25,0.27727342735504823,jesendo/malaysia-covid19 | umuttoygargoz/covid19-data | kalilurrahman/new-york-times-covid19-dataset | alfredodimaria/covid19-data-by-agid | joebeachcapital/coronavirus-covid-19-cases-daily-updates,alfredodimaria/covid19-data-by-agid | joebeachcapital/coronavirus-covid-19-cases-daily-updates
tr012,gunluk covid vaka guncellemeleri,health_time_series,hybrid,multilingual,all,5,6,1,0.2,0.16666666666666666,1.0,0.3391602052736161,joebeachcapital/coronavirus-covid-19-cases-daily-updates | BeIR/nq | sophiaray/covid19-global-cases | umuttoygargoz/covid19-data | joebeachcapital/covid19-global-excess-deaths-daily-updates,joebeachcapital/coronavirus-covid-19-cases-daily-updates
